input_len,output_len,layer_size,encoder_type,encoder_layers,decoder_type,decoder_layers,attention_type,attention_scale,attention_dropout,attention_causal,num,epoch,ensemble,smape,mase*
18,6,128,bi,2,uni,1,none,False,0.0,False,1,14,False,22.261572417406835,4.635952686953985
18,6,128,bi,2,uni,1,none,False,0.0,False,1,14,True,22.26167211954206,4.635976637344846
18,6,128,bi,2,uni,1,none,False,0.0,False,1,15,False,22.261561657313663,4.635950088697788
18,6,128,bi,2,uni,1,none,False,0.0,False,1,15,True,22.26166160583088,4.635974125294026
18,6,128,bi,2,uni,1,none,False,0.0,False,2,1,False,22.261711141122326,4.635986429559545
18,6,128,bi,2,uni,1,none,False,0.0,False,2,1,True,22.261711141122326,4.635986429559545
18,6,128,bi,2,uni,1,none,False,0.0,False,2,2,False,22.26167941983697,4.635978766508449
18,6,128,bi,2,uni,1,none,False,0.0,False,2,2,True,22.26169528170526,4.635982599642207
18,6,128,bi,2,uni,1,none,False,0.0,False,2,3,False,22.26165204538642,4.6359721558959155
18,6,128,bi,2,uni,1,none,False,0.0,False,2,3,True,22.26167941983697,4.635978766508449
18,6,128,bi,2,uni,1,none,False,0.0,False,2,4,False,22.261628413123276,4.635966434792016
18,6,128,bi,2,uni,1,none,False,0.0,False,2,4,True,22.261665728128534,4.635975459676054
18,6,128,bi,2,uni,1,none,False,0.0,False,2,5,False,22.261608698492896,4.635961676092678
18,6,128,bi,2,uni,1,none,False,0.0,False,2,5,True,22.26165204538642,4.6359721558959155
18,6,128,bi,2,uni,1,none,False,0.0,False,2,6,False,22.261591424381578,4.635957515197074
18,6,128,bi,2,uni,1,none,False,0.0,False,2,6,True,22.261640228434196,4.63596929493514
18,6,128,bi,2,uni,1,none,False,0.0,False,2,7,False,22.261576252429148,4.635953838678735
18,6,128,bi,2,uni,1,none,False,0.0,False,2,7,True,22.261628413123276,4.635966434792016
18,6,128,bi,2,uni,1,none,False,0.0,False,2,8,False,22.261562519450855,4.635950521837835
18,6,128,bi,2,uni,1,none,False,0.0,False,2,8,True,22.261618570456946,4.635964060254341
18,6,128,bi,2,uni,1,none,False,0.0,False,2,9,False,22.261551455315814,4.63594787084805
18,6,128,bi,2,uni,1,none,False,0.0,False,2,9,True,22.261608698492896,4.635961676092678
18,6,128,bi,2,uni,1,none,False,0.0,False,2,10,False,22.261540083312237,4.63594512303775
18,6,128,bi,2,uni,1,none,False,0.0,False,2,10,True,22.26160006090502,4.635959597600419
18,6,128,bi,2,uni,1,none,False,0.0,False,2,11,False,22.261530403977527,4.635942803903046
18,6,128,bi,2,uni,1,none,False,0.0,False,2,11,True,22.261591424381578,4.635957515197074
18,6,128,bi,2,uni,1,none,False,0.0,False,2,12,False,22.26152158786961,4.6359406470628635
18,6,128,bi,2,uni,1,none,False,0.0,False,2,12,True,22.261583846920864,4.635955678887806
18,6,128,bi,2,uni,1,none,False,0.0,False,2,13,False,22.26151317675716,4.6359386093126576
18,6,128,bi,2,uni,1,none,False,0.0,False,2,13,True,22.261576252429148,4.635953838678735
18,6,128,bi,2,uni,1,none,False,0.0,False,2,14,False,22.261506002213267,4.635936911702994
18,6,128,bi,2,uni,1,none,False,0.0,False,2,14,True,22.26156938283846,4.635952180376061
18,6,128,bi,2,uni,1,none,False,0.0,False,2,15,False,22.26149989003327,4.635935431460197
18,6,128,bi,2,uni,1,none,False,0.0,False,2,15,True,22.261562519450855,4.635950521837835
18,6,128,bi,2,uni,1,none,False,0.0,False,3,1,False,22.261940826286818,4.636041537917943
18,6,128,bi,2,uni,1,none,False,0.0,False,3,1,True,22.261940826286818,4.636041537917943
18,6,128,bi,2,uni,1,none,False,0.0,False,3,2,False,22.26188272810852,4.636027501173363
18,6,128,bi,2,uni,1,none,False,0.0,False,3,2,True,22.261911761117446,4.636034514129228
18,6,128,bi,2,uni,1,none,False,0.0,False,3,3,False,22.261835155103466,4.636016049505258
18,6,128,bi,2,uni,1,none,False,0.0,False,3,3,True,22.26188272810852,4.636027501173363
18,6,128,bi,2,uni,1,none,False,0.0,False,3,4,False,22.26179491695477,4.636006337495438
18,6,128,bi,2,uni,1,none,False,0.0,False,3,4,True,22.261858943895017,4.63602177845669
18,6,128,bi,2,uni,1,none,False,0.0,False,3,5,False,22.261760406653636,4.635998008993929
18,6,128,bi,2,uni,1,none,False,0.0,False,3,5,True,22.261835155103466,4.636016049505258
18,6,128,bi,2,uni,1,none,False,0.0,False,3,6,False,22.26173064728611,4.635990841201563
18,6,128,bi,2,uni,1,none,False,0.0,False,3,6,True,22.26181504541075,4.636011195658456
18,6,128,bi,2,uni,1,none,False,0.0,False,3,7,False,22.261705815435597,4.635984879354697
18,6,128,bi,2,uni,1,none,False,0.0,False,3,7,True,22.26179491695477,4.636006337495438
18,6,128,bi,2,uni,1,none,False,0.0,False,3,8,False,22.261682863221775,4.635979343792451
18,6,128,bi,2,uni,1,none,False,0.0,False,3,8,True,22.261777642385667,4.636002167912269
18,6,128,bi,2,uni,1,none,False,0.0,False,3,9,False,22.261663502696486,4.635974708170927
18,6,128,bi,2,uni,1,none,False,0.0,False,3,9,True,22.261760406653636,4.635998008993929
18,6,128,bi,2,uni,1,none,False,0.0,False,3,10,False,22.261645358099067,4.6359703281334355
18,6,128,bi,2,uni,1,none,False,0.0,False,3,10,True,22.26174552259738,4.635994425490623
18,6,128,bi,2,uni,1,none,False,0.0,False,3,11,False,22.26162879402954,4.635966324369123
18,6,128,bi,2,uni,1,none,False,0.0,False,3,11,True,22.26173064728611,4.635990841201563
18,6,128,bi,2,uni,1,none,False,0.0,False,3,12,False,22.261615627947105,4.635963175901957
18,6,128,bi,2,uni,1,none,False,0.0,False,3,12,True,22.26171824461416,4.635987862955584
18,6,128,bi,2,uni,1,none,False,0.0,False,3,13,False,22.261601853488326,4.635959845878054
18,6,128,bi,2,uni,1,none,False,0.0,False,3,13,True,22.261705815435597,4.635984879354697
18,6,128,bi,2,uni,1,none,False,0.0,False,3,14,False,22.261590384846084,4.6359571005168965
18,6,128,bi,2,uni,1,none,False,0.0,False,3,14,True,22.261694341171214,4.6359821092166635
18,6,128,bi,2,uni,1,none,False,0.0,False,3,15,False,22.261579863428178,4.635954560448522
18,6,128,bi,2,uni,1,none,False,0.0,False,3,15,True,22.261682863221775,4.635979343792451
18,6,128,bi,2,uni,1,none,False,0.0,False,4,1,False,22.261887582541515,4.636028767364157
18,6,128,bi,2,uni,1,none,False,0.0,False,4,1,True,22.261887582541515,4.636028767364157
18,6,128,bi,2,uni,1,none,False,0.0,False,4,2,False,22.26182775402341,4.636014297569983
18,6,128,bi,2,uni,1,none,False,0.0,False,4,2,True,22.261857669008172,4.636021534476429
18,6,128,bi,2,uni,1,none,False,0.0,False,4,3,False,22.261772447351724,4.636001026998948
18,6,128,bi,2,uni,1,none,False,0.0,False,4,3,True,22.26182775402341,4.636014297569983
18,6,128,bi,2,uni,1,none,False,0.0,False,4,4,False,22.26173296623801,4.635991541423237
18,6,128,bi,2,uni,1,none,False,0.0,False,4,4,True,22.261800104387994,4.636007661070609
18,6,128,bi,2,uni,1,none,False,0.0,False,4,5,False,22.261702788649146,4.635984260396922
18,6,128,bi,2,uni,1,none,False,0.0,False,4,5,True,22.261772447351724,4.636001026998948
18,6,128,bi,2,uni,1,none,False,0.0,False,4,6,False,22.261677224767183,4.635978086095423
18,6,128,bi,2,uni,1,none,False,0.0,False,4,6,True,22.261752717045805,4.635996288743077
18,6,128,bi,2,uni,1,none,False,0.0,False,4,7,False,22.261654711154023,4.635972636974697
18,6,128,bi,2,uni,1,none,False,0.0,False,4,7,True,22.26173296623801,4.635991541423237
18,6,128,bi,2,uni,1,none,False,0.0,False,4,8,False,22.26163619585843,4.635968178502692
18,6,128,bi,2,uni,1,none,False,0.0,False,4,8,True,22.261717871416714,4.635987898346901
